key,source,en,context,char_limit,speaker,listener,emotion,status,screen,platform,plural,screenshot_reference
dlg_moon_temple_arrival_01,你終於來了。,You're finally here.,月影神殿入口的開場；Luna先確認Player是否安全抵達。,18,Luna,Player,警戒,initial,moon_temple_arrival,iOS,other,https://example.com/screens/moon_temple_arrival.png
dlg_moon_temple_arrival_02,路上發生了一點意外。,Something happened on the way.,,5,Player,Luna,困惑,initial,moon_temple_arrival,Android,other,
dlg_moon_temple_arrival_03,先別解釋，看看封印石門。,Explanations can wait — look at the sealed stone door.,,30,Luna,Player,警戒,initial,moon_temple_arrival,iOS,other,
dlg_moon_temple_arrival_04,它看起來不像普通的封印石門。,It doesn't look like an ordinary sealed stone door.,,34,Player,Luna,困惑,initial,moon_temple_arrival,Android,other,
dlg_moon_temple_arrival_05,打開它。,Open it.,,12,Luna,,,initial,,iOS,other,
dlg_moon_temple_arrival_06,等等，我聽見石像守衛的聲音。,"Wait, I hear the stone guardian statues.",,32,Player,Luna,恐懼,initial,moon_temple_arrival,Android,other,
dlg_moon_temple_arrival_07,別怕，跟緊我。,Don't be afraid. Stay close to me.,,18,Luna,Player,安撫,initial,moon_temple_arrival,iOS,other,
dlg_moon_temple_arrival_08,如果出事，就使用 MOON_KEY。,"If something goes wrong, use MOON_KEY.",MOON_KEY 是不可翻譯的遊戲內道具代碼，必須原樣保留。,42,Player,Luna,急切,initial,moon_temple_arrival,Android,other,
dlg_moon_temple_arrival_09,明白了，{{player_name}}，我們一起行動。,"Understood, {{player_name}}. Let's move together.",{{player_name}} 是執行時替換的玩家名稱 placeholder，必須原樣保留。,44,Luna,Player,堅定,initial,moon_temple_arrival,iOS,other,
dlg_moon_temple_arrival_10,走吧，下一站是神殿前廳。,Let's go. Next stop is the temple's front hall.,本句結束 moon_temple_arrival 場景，並銜接下一個任務地點。,30,Player,Luna,期待,initial,moon_temple_arrival,Android,other,
dlg_betrayal_ruins_01,你終於來了。,You're finally here.,斷垣遺跡的開場；Mira先確認Player是否安全抵達。,18,Mira,Player,憤怒,initial,betrayal_ruins,iOS,other,https://example.com/screens/betrayal_ruins.png
dlg_betrayal_ruins_02,路上發生了一點意外。,Something happened on the way.,,22,Player,Mira,愧疚,initial,betrayal_ruins,Android,other,
dlg_betrayal_ruins_03,先別解釋，看看染血徽章。,Explanations can wait — look at the blood-stained badge.,,5,Mira,Player,憤怒,initial,betrayal_ruins,iOS,other,
dlg_betrayal_ruins_04,它看起來不像普通的染血徽章。,It doesn't look like an ordinary blood-stained badge.,,34,Player,Mira,愧疚,initial,betrayal_ruins,Android,other,
dlg_betrayal_ruins_05,打開它。,Open it.,此處的「它」明確指上一句的染血徽章，不是選單或背包。,12,Mira,Player,憤怒,initial,betrayal_ruins,iOS,other,
dlg_betrayal_ruins_06,等等，我聽見追兵的聲音。,"Wait, I hear pursuers.",,32,Player,Mira,恐懼,initial,betrayal_ruins,Android,other,
dlg_betrayal_ruins_07,別怕，跟緊我。,Don't be afraid. Stay close to me.,,18,Mira,Player,安撫,initial,betrayal_ruins,iOS,other,
dlg_betrayal_ruins_08,如果出事，就使用 SMOKE_BOMB。,"If something goes wrong, use SMOKE_BOMB.",SMOKE_BOMB 是不可翻譯的遊戲內道具代碼，必須原樣保留。,42,Player,Mira,急切,initial,betrayal_ruins,Android,other,
dlg_betrayal_ruins_09,明白了，{{player_name}}，我們一起行動。,"Understood, {{player_name}}. Let's move together.",{{player_name}} 是執行時替換的玩家名稱 placeholder，必須原樣保留。,44,Mira,Player,堅定,initial,betrayal_ruins,iOS,other,
dlg_betrayal_ruins_10,走吧，下一站是地下水道。,Let's go. Next stop is the underground sewers.,本句結束 betrayal_ruins 場景，並銜接下一個任務地點。,30,Player,Mira,期待,initial,betrayal_ruins,Android,other,
dlg_commander_briefing_01,你終於來了。,You're finally here.,北境作戰室的開場；Commander先確認Player是否安全抵達。,18,Commander,Player,嚴肅,initial,commander_briefing,iOS,other,https://example.com/screens/commander_briefing.png
dlg_commander_briefing_02,路上發生了一點意外。,Something happened on the way.,,22,Player,Commander,緊張,initial,commander_briefing,Android,other,
dlg_commander_briefing_03,先別解釋，看看邊境地圖。,Explanations can wait — look at the border map.,,30,Commander,Player,嚴肅,initial,commander_briefing,iOS,other,
dlg_commander_briefing_04,它看起來不像普通的邊境地圖。,It doesn't look like an ordinary border map.,,34,Player,Commander,緊張,initial,commander_briefing,Android,other,
dlg_commander_briefing_05,打開它。,Open it.,此處的「它」明確指上一句的邊境地圖，不是選單或背包。,12,Commander,Player,嚴肅,initial,commander_briefing,iOS,other,
dlg_commander_briefing_06,等等，我聽見敵軍號角的聲音。,"Wait, I hear enemy war horns.",,32,Player,Commander,恐懼,initial,commander_briefing,Android,other,
